phrase,meaning
Cha Ryut,Attention
Kyung Yet,Bow
Joon Bee,Ready
Shi-Jak,Begin
Ku Ryung,Count
Ku Ryung Ae Mat Cho So,By the count
Ku Ryung Op Shi,Without count
Ba-ro,Return
Shio,Relax
Tora,Turn
Dwee Ro Tora,Turn to rear
Bal Cha Kee Joon Bee,Ready for kick
Ha-na,One
Tul,Two
Set,Three
Net,Four
Ta-sot,Five
Yo-sot,Six
IL-gop,Seven
Yo-dol,Eight
A-hop,Nine
Yol,Ten
IL,First
Ee,Second
Sam,Third
Sa,Fourth
Oh,Fifth
Yuk,Sixth
Chil,Seventh
Pahl,Eighth
Ku,Ninth
Ship,Tenth
Jok Kee,Foot techniques
Mahk Kee,Block
Kong Kyuk,Attack
Ha Dan,Low section
Joong Dan,Middle section
Sang Dan,High section
Cha Kee,Kick
Ki-hap,Shout/yell
Shi Sun,Focus of eyes
Jung Shim,Balance
Kwon Do,Knife fist
Joong Kwon,Fore fist
Kap Kwon,Back fist
IL Ji Kwon,One finger fist
Yoo Kwon,Soft fist
Jip Kye Shon,Plier hand
Soo Do,Knife hand
Yuk Soo Do,Ridge hand
Kwan Soo,Spear hand
IL Ji Kwon Soo,One finger spear hand
Ee Ji Kwon Soo,Two finger spear hand
Jang Kwon,Heel of hand
Son Mok Deung,Upper wrist technique
Pal Koop,Elbow
Moo Roop,Knee
,